#MLRT	#	0.8712	#MLRT
im	L	0.9789	im
tired	A	0.8122	tired
but	&	0.9901	but
i	O	0.9651	i
dont	V	0.9006	dont
wanna	V	0.9079	wanna
go	V	0.8465	go
(	,	0.9082	(
@JamesandSonny	@	0.9990	@JamesandSonny
live	V	0.4463	live
on	P	0.8343	on
http://t.co/owVlTWvXDh	U	0.9900	http://t.co/owVlTWvXDh
)	,	0.9412	)
			
RT	~	0.7475	RT
@theyadorequeen	@	0.9990	@theyadorequeen
:	,	0.7421	:
@LoyalKey__	@	0.9990	@LoyalKey__
lol	!	0.9995	lol
u	O	0.9843	u
crazy	A	0.9821	crazy
bruh	N	0.7481	bruh
			
Handing	V	0.9687	Handing
out	T	0.6015	out
the	D	0.9792	the
jaggery	^	0.4430	jaggery
for	P	0.9910	for
my	D	0.8420	my
wada	^	0.8188	wada
special	A	0.8693	special
at	P	0.9712	at
#AlchemyFestival	#	0.9434	#AlchemyFestival
on	P	0.8343	on
the	D	0.9792	the
Southbank	^	0.8008	Southbank
http://t.co/0v8CFj6SOG	U	0.9940	http://t.co/0v8CFj6SOG
			
Son	^	0.4818	Son
of	P	0.8953	of
Red	A	0.9265	Red
Sox	N	0.4335	Sox
broadcaster	N	0.9937	broadcaster
Jerry	^	0.9975	Jerry
Remy	^	0.8975	Remy
pleads	V	0.5085	pleads
guilty	A	0.9724	guilty
to	P	0.9511	to
1st-degree	$	0.8992	1st-degree
murder	N	0.9590	murder
in	P	0.8576	in
girlfriend's	S	0.4481	girlfriend's
stabbing	V	0.9112	stabbing
-	,	0.8444	-
via	P	0.7478	via
@SportsCenter	@	0.9990	@SportsCenter
http://t.co/a4Sr6dDdd2	U	0.9940	http://t.co/a4Sr6dDdd2
			
I	O	0.9937	I
txted	V	0.8026	txted
yu	O	0.9200	yu
this	O	0.5028	this
Morning	N	0.7482	Morning
&	&	0.9901	&
yu	O	0.9200	yu
ainy	!	0.4032	ainy
txt	N	0.4304	txt
me	O	0.9918	me
back	R	0.5723	back
			
Ion	L	0.4586	Ion
Fuck	!	0.4899	Fuck
With	P	0.9803	With
To	P	0.9549	To
Many	A	0.7504	Many
Niggas	N	0.9068	Niggas
They	O	0.9740	They
Aint	V	0.7423	Aint
Equal	A	0.5727	Equal
			
The	D	0.9468	The
old	A	0.9547	old
Bargin	N	0.8031	Bargin
Giant	A	0.8596	Giant
would	V	0.9736	would
make	V	0.8257	make
a	D	0.8948	a
good	A	0.9644	good
entertainment	N	0.8385	entertainment
centre	N	0.8975	centre
@uptownsaintjohn	@	0.9990	@uptownsaintjohn
#renaissancecity	#	0.9194	#renaissancecity
			
@dreeeaa	@	0.9986	@dreeeaa
i	O	0.9651	i
dont	V	0.9006	dont
know	V	0.9285	know
where	R	0.9493	where
she	O	0.9863	she
lives	V	0.5430	lives
lol	!	0.9995	lol
			
Baekhyun	^	0.8418	Baekhyun
-	,	0.8444	-
140525	$	0.5173	140525
EXO	^	0.8573	EXO
from	P	0.9750	from
Exoplanet	N	0.9192	Exoplanet
#1	$	0.4550	#1
-	,	0.8444	-
The	D	0.9468	The
Lost	V	0.7182	Lost
Planet	N	0.9680	Planet
in	P	0.8576	in
Seoul	^	0.9266	Seoul
Credit	N	0.9473	Credit
:	,	0.7421	:
Prelude	N	0.9191	Prelude
.	,	0.9927	.
http://t.co/fEGENMvW21	U	0.9940	http://t.co/fEGENMvW21
			
@Mytieyonce	@	0.9990	@Mytieyonce
niggas	N	0.8807	niggas
get	V	0.9655	get
mad	A	0.9005	mad
when	R	0.9425	when
they	O	0.9737	they
lose	V	0.8854	lose
and	&	0.9981	and
start	V	0.9113	start
taking	V	0.9846	taking
shots	N	0.9783	shots
lol	!	0.9995	lol
			
RT	~	0.7475	RT
@bwalbie	@	0.9990	@bwalbie
:	,	0.7421	:
#openfollow	#	0.8397	#openfollow
for	P	0.9910	for
rp	!	0.5479	rp
,	,	0.9918	,
jfb	!	0.3632	jfb
,	,	0.9918	,
retweet	V	0.5104	retweet
juseyo	!	0.5112	juseyo
!	,	0.9924	!
			
EXTEND	V	0.9165	EXTEND
THE	D	0.9569	THE
LUV	N	0.4418	LUV
.	,	0.9927	.
FOLLOW	V	0.9327	FOLLOW
ME	O	0.9107	ME
ON	P	0.8009	ON
IG	!	0.8585	IG
=>	G	0.5249	=>
@DAGR8MOHAMED	@	0.9987	@DAGR8MOHAMED
.	,	0.9927	.
WILL	V	0.9234	WILL
RECIPROCATE	V	0.8971	RECIPROCATE
.	,	0.9927	.
http://t.co/NZUw53f5E2	U	0.9940	http://t.co/NZUw53f5E2
			
@PMOIndia	@	0.9986	@PMOIndia
@narendramodi	@	0.9990	@narendramodi
3	$	0.9007	3
days(in	N	0.9205	days(in
1825	$	0.9862	1825
days	N	0.9144	days
)	,	0.9412	)
wasted	V	0.8615	wasted
in	P	0.8576	in
photo	N	0.9609	photo
session	N	0.9932	session
..	,	0.9687	..
Ab	!	0.3944	Ab
kaam	!	0.3712	kaam
par	N	0.3442	par
bhi	^	0.4606	bhi
lago	!	0.4254	lago
Majdoor	^	0.2394	Majdoor
no	!	0.9253	no
.	,	0.9927	.
1	$	0.9900	1
			
Kim	^	0.9951	Kim
Kardashian	^	0.8315	Kardashian
,	,	0.9918	,
Kanye	^	0.9368	Kanye
West	^	0.5648	West
Might	V	0.9556	Might
Marry	V	0.4504	Marry
In	P	0.8841	In
Italy	^	0.9360	Italy
,	,	0.9918	,
According	V	0.9793	According
To	P	0.9549	To
Latest	A	0.9588	Latest
Rumor	N	0.9374	Rumor
-	,	0.8444	-
The	D	0.9468	The
countdown	N	0.9682	countdown
to	P	0.9511	to
Kim	^	0.9951	Kim
Kardashian	^	0.8315	Kardashian
and	&	0.9981	and
...	~	0.6291	...
http://t.co/qwvlC0rFpE	U	0.9940	http://t.co/qwvlC0rFpE
			
Rana	!	0.3534	Rana
Samaha	^	0.5211	Samaha
,	,	0.9918	,
Ignore	V	0.9232	Ignore
all	D	0.7257	all
the	D	0.9792	the
criticism	N	0.9357	criticism
.	,	0.9927	.
A	D	0.7889	A
spotlight	N	0.9774	spotlight
can	V	0.9763	can
never	R	0.9752	never
see	V	0.8335	see
the	D	0.9792	the
shadows	N	0.9513	shadows
anyways	!	0.4751	anyways
you're	L	0.9569	you're
flawless	A	0.7272	flawless
			
@dilipkpandey	@	0.9990	@dilipkpandey
@ArvindKejriwal	@	0.9990	@ArvindKejriwal
next	A	0.4810	next
time	N	0.9685	time
try	V	0.8716	try
to	P	0.9511	to
fight	N	0.5831	fight
the	D	0.9792	the
elction	N	0.3988	elction
with	P	0.9671	with
winning	V	0.9242	winning
spirite	!	0.3675	spirite
not	R	0.9628	not
with	P	0.9671	with
spirite	!	0.3675	spirite
to	P	0.9511	to
defeat	V	0.4013	defeat
others	N	0.7945	others
.	,	0.9927	.
			
@caseym_ford	@	0.9990	@caseym_ford
@homeschool_prbs	@	0.9990	@homeschool_prbs
@AmyArrington15	@	0.9989	@AmyArrington15
Ridge	^	0.7841	Ridge
Lake	^	0.6364	Lake
Academy	^	0.6639	Academy
.	,	0.9927	.
Home	N	0.8967	Home
of	P	0.8953	of
the	D	0.9792	the
fighting	V	0.9965	fighting
llamas	^	0.4691	llamas
.	,	0.9927	.
Draco	^	0.6528	Draco
dormiens	!	0.2379	dormiens
nunquam	!	0.4081	nunquam
titillandus	N	0.2905	titillandus
.	,	0.9927	.
			
Its	L	0.9816	Its
better	A	0.6680	better
than	P	0.9031	than
starving	V	0.9249	starving
bruh	N	0.7481	bruh
"	,	0.9803	"
@TheOfficialABD_	@	0.9990	@TheOfficialABD_
:	,	0.7421	:
Wht	O	0.6747	Wht
if	P	0.9711	if
I	O	0.9937	I
tell	V	0.7941	tell
u	O	0.9843	u
ur	L	0.5261	ur
certificate	N	0.9269	certificate
will	V	0.9478	will
only	R	0.7668	only
put	V	0.7836	put
food	N	0.9401	food
on	P	0.8343	on
ur	L	0.5261	ur
table	N	0.9664	table
?	,	0.9909	?
And	&	0.9973	And
not	R	0.9628	not
make	V	0.8257	make
u	O	0.9843	u
really	R	0.9938	really
Rich	A	0.8227	Rich
"	,	0.9803	"
			
Whenever	R	0.9596	Whenever
you	O	0.9627	you
Trynna	V	0.6819	Trynna
go	V	0.8465	go
to	P	0.9511	to
game	N	0.9747	game
stop	V	0.7591	stop
today	N	0.9895	today
Lmk	!	0.7921	Lmk
@CG_Diablo	@	0.9990	@CG_Diablo
			
RT	~	0.7475	RT
@alissahupp	@	0.9990	@alissahupp
:	,	0.7421	:
Idk	L	0.6590	Idk
who	O	0.9764	who
I	O	0.9937	I
hate	V	0.9340	hate
more	A	0.4885	more
guys	N	0.9762	guys
or	&	0.9822	or
girls	N	0.9710	girls
lol	!	0.9995	lol
			
RT	~	0.7475	RT
@reggaeville	@	0.9980	@reggaeville
:	,	0.7421	:
NEW	A	0.9528	NEW
TUNE	N	0.4480	TUNE
:	,	0.7421	:
Tarrus	^	0.8298	Tarrus
Riley	^	0.9644	Riley
-	,	0.8444	-
Greatest	A	0.9587	Greatest
Creation	N	0.9965	Creation
[	,	0.9656	[
Greatest	A	0.9587	Greatest
Creation	N	0.9965	Creation
Riddim	N	0.7264	Riddim
-	,	0.8444	-
Jukeboxx	N	0.4357	Jukeboxx
Productions	N	0.8393	Productions
http://t.co/kfmgBux1E6	U	0.9940	http://t.co/kfmgBux1E6
			
@Ifreke	@	0.9980	@Ifreke
something	N	0.9754	something
about	P	0.8950	about
ur	L	0.5261	ur
tweets	N	0.6999	tweets
with	P	0.9671	with
the	D	0.9792	the
MTN	^	0.9050	MTN
hashtag	N	0.5386	hashtag
.	,	0.9927	.
Something	N	0.9844	Something
not	R	0.9628	not
right	!	0.8610	right
though	P	0.7128	though
.	,	0.9927	.
			
@HarleyHorcrux	@	0.9990	@HarleyHorcrux
boys	N	0.9869	boys
r	V	0.4589	r
fuckin	!	0.4109	fuckin
idiots	N	0.9146	idiots
forever	R	0.9802	forever
dont	V	0.9006	dont
listen	V	0.9782	listen
to	P	0.9511	to
them	O	0.9105	them
			
1	$	0.9900	1
tweep	N	0.5000	tweep
unfollowed	V	0.4720	unfollowed
(	,	0.9082	(
goodbye	!	0.9922	goodbye
!	,	0.9924	!
)	,	0.9412	)
me	O	0.9918	me
in	P	0.8576	in
the	D	0.9792	the
past	A	0.8547	past
week	N	0.8660	week
.	,	0.9927	.
Thank	V	0.6798	Thank
you	O	0.9627	you
http://t.co/wQcw09u9NG	U	0.9940	http://t.co/wQcw09u9NG
.	,	0.9927	.
			
RT	~	0.7475	RT
@liamonaprayer	@	0.9990	@liamonaprayer
:	,	0.7421	:
CAN	V	0.9800	CAN
WE	O	0.9335	WE
PLEASE	V	0.7935	PLEASE
HAVR	V	0.4809	HAVR
A	D	0.7889	A
MERCH	N	0.4996	MERCH
JACKET	N	0.8180	JACKET
THAT	O	0.7877	THAT
SAYS	V	0.9757	SAYS
TEAM	N	0.9724	TEAM
NIALL	^	0.9646	NIALL
ON	P	0.8009	ON
THE	D	0.9569	THE
BACK	R	0.6879	BACK
			
@GaPeach_est1083	@	0.9989	@GaPeach_est1083
I	O	0.9937	I
hate	V	0.9340	hate
u	O	0.9843	u
RT'd	V	0.6307	RT'd
that	O	0.7135	that
and	&	0.9981	and
made	V	0.9295	made
me	O	0.9918	me
click	N	0.4056	click
on	P	0.8343	on
their	D	0.7901	their
bitch	N	0.8507	bitch
ass	N	0.8849	ass
page	N	0.9519	page
..	,	0.9687	..
lol	!	0.9995	lol
			
RT	~	0.7475	RT
@shiningtweets	@	0.9990	@shiningtweets
:	,	0.7421	:
.	,	0.9927	.
@noizemasta	@	0.9990	@noizemasta
:	,	0.7421	:
With	P	0.9803	With
Jonghyun	^	0.9113	Jonghyun
...	~	0.6291	...
My	D	0.9244	My
scalp	N	0.9068	scalp
is	V	0.9892	is
SHINee	^	0.6724	SHINee
....	,	0.9646	....
http://t.co/dByWKMekCM	U	0.9900	http://t.co/dByWKMekCM
			
Haha	!	0.9991	Haha
truly	R	0.9199	truly
banterous	N	0.2807	banterous
song	N	0.9799	song
choice	N	0.9453	choice
http://t.co/c1piC1L0Sz	U	0.9940	http://t.co/c1piC1L0Sz
			
RT	~	0.7475	RT
@ROll_SuM	@	0.9986	@ROll_SuM
:	,	0.7421	:
first	A	0.7263	first
im	L	0.9789	im
gone	V	0.7256	gone
stack	N	0.9377	stack
my	D	0.8420	my
flow	N	0.9666	flow
then	R	0.9661	then
im	L	0.9789	im
gone	V	0.7256	gone
stack	N	0.9377	stack
some	D	0.7045	some
more	A	0.4885	more
			
RT	~	0.7475	RT
@EXOINDONESIA	@	0.9987	@EXOINDONESIA
:	,	0.7421	:
[	,	0.9656	[
PREVIEW	N	0.9031	PREVIEW
]	,	0.9650	]
140523	$	0.4584	140523
Sehun	^	0.8658	Sehun
@	P	0.5208	@
EXO	^	0.8573	EXO
FROM	P	0.9772	FROM
.	,	0.9927	.
EXOPLANET	N	0.9144	EXOPLANET
#	#	0.7209	#
1-THE	$	0.9868	1-THE
LOST	V	0.5365	LOST
PLANET	N	0.9535	PLANET
in	P	0.8576	in
SEOUL	^	0.9293	SEOUL
(	,	0.9082	(
cr	N	0.4422	cr
:	,	0.7421	:
iridescent	!	0.2538	iridescent
boy	N	0.8695	boy
)	,	0.9412	)
http://t.co/eZlQ4PM4It	U	0.9940	http://t.co/eZlQ4PM4It
			
"	,	0.9803	"
@Byun_bekk	@	0.9990	@Byun_bekk
:	,	0.7421	:
#openfollow	#	0.8397	#openfollow
for	P	0.9910	for
RP	!	0.4815	RP
just	R	0.9975	just
quate	N	0.2781	quate
jgn	!	0.4014	jgn
ngeRT	!	0.4150	ngeRT
"	,	0.9803	"
			
@tgonnzalez	@	0.9990	@tgonnzalez
imma	L	0.9699	imma
hafto	!	0.5775	hafto
agree	V	0.9573	agree
with	P	0.9671	with
that	O	0.7135	that
statement	N	0.9599	statement
lol	!	0.9995	lol
			
Fucking	!	0.4112	Fucking
wise	A	0.9434	wise
words	N	0.7885	words
from	P	0.9750	from
Tupac	^	0.9867	Tupac
Amaru	^	0.9463	Amaru
Shakur	^	0.8889	Shakur
#respect	#	0.8283	#respect
			
RT	~	0.7475	RT
@Lungie_Gumz	@	0.9990	@Lungie_Gumz
:	,	0.7421	:
B	N	0.5776	B
!!!!!!!	,	0.9633	!!!!!!!
"	,	0.9803	"
@Yung_btee	@	0.9990	@Yung_btee
:	,	0.7421	:
Choose	V	0.9112	Choose
your	D	0.5467	your
favourite	!	0.3852	favourite
rapper	N	0.9043	rapper
#FollowAHipHopHeadThursdays	#	0.9494	#FollowAHipHopHeadThursdays
..	,	0.9687	..
i	O	0.9651	i
follow	V	0.9508	follow
back	R	0.5723	back
http://t.co/4xIUHYHdqo	U	0.9940	http://t.co/4xIUHYHdqo
"	,	0.9803	"
			
Forever	R	0.7424	Forever
stalking	V	0.9590	stalking
